scenario,timeout_low_ms,timeout_high_ms,seed,trial,old_leader,new_leader,crash_time_ms,election_start_ms,leader_elected_ms,first_heartbeat_ms,failover_ms
leader_crash_restart,600,1000,0,1,-1,3,2207,2207,2207,2308,101
leader_crash_restart,600,1000,0,1,-1,2,313,301,313,402,89
leader_crash_restart,600,1000,0,1,-1,3,1722,1706,1722,1806,84
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,402,101
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,1,3313,3313,3313,3413,100
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,4,501,501,501,601,100
leader_crash_restart,600,1000,0,1,-1,2,501,501,501,601,100
leader_crash_restart,600,1000,0,1,-1,0,501,501,501,602,101
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,403,403,403,503,100
leader_crash_restart,600,1000,0,1,-1,2,903,902,903,1002,99
leader_crash_restart,600,1000,0,1,-1,4,1304,1304,1304,1404,100
leader_crash_restart,600,1000,0,1,-1,4,400,400,400,501,101
leader_crash_restart,600,1000,0,1,-1,1,2810,2810,2810,2910,100
leader_crash_restart,600,1000,0,1,-1,3,3211,3211,3211,3311,100
leader_crash_restart,600,1000,0,1,-1,4,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,501,501,501,602,101
leader_crash_restart,600,1000,0,1,-1,3,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,3,402,402,402,503,101
leader_crash_restart,600,1000,0,1,-1,0,703,703,703,803,100
leader_crash_restart,600,1000,0,1,-1,3,402,401,402,501,99
leader_crash_restart,600,1000,0,1,-1,1,2207,2207,2207,2307,100
leader_crash_restart,600,1000,0,1,-1,3,1403,1403,1403,1503,100
leader_crash_restart,600,1000,0,1,-1,3,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,2,1907,1906,1907,2007,100
leader_crash_restart,600,1000,0,1,-1,1,802,802,802,903,101
leader_crash_restart,600,1000,0,1,-1,2,302,302,302,402,100
leader_crash_restart,600,1000,0,1,-1,3,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,1,1605,1605,1605,1705,100
leader_crash_restart,600,1000,0,1,-1,1,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,1,1003,1003,1003,1104,101
leader_crash_restart,600,1000,0,1,-1,2,3012,3011,3012,3112,100
leader_crash_restart,600,1000,0,1,-1,0,4517,4517,4517,4617,100
leader_crash_restart,600,1000,0,1,-1,2,400,400,400,501,101
leader_crash_restart,600,1000,0,1,-1,2,300,300,300,401,101
leader_crash_restart,600,1000,0,1,-1,3,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,4,2409,2409,2409,2509,100
leader_crash_restart,600,1000,0,1,-1,0,1206,1205,1206,1306,100
leader_crash_restart,600,1000,0,1,-1,0,808,807,808,908,100
leader_crash_restart,600,1000,0,1,-1,0,702,702,702,803,101
leader_crash_restart,600,1000,0,1,-1,4,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,322,314,322,414,92
leader_crash_restart,600,1000,0,1,-1,3,313,300,313,401,88
leader_crash_restart,600,1000,0,1,-1,4,1012,1003,1012,1104,92
leader_crash_restart,600,1000,0,1,-1,0,1833,1807,1833,1907,74
leader_crash_restart,600,1000,0,1,-1,1,3237,3213,3237,3313,76
leader_crash_restart,600,1000,0,1,-1,2,4736,4723,4736,4823,87
leader_crash_restart,600,1000,0,1,-1,4,1012,5927,5954,6028,5016
leader_crash_restart,600,1000,0,1,-1,4,1012,7533,7555,7634,6622
leader_crash_restart,600,1000,0,1,-1,1,3237,11043,11054,11143,7906
leader_crash_restart,600,1000,0,1,-1,4,1012,19877,19900,19978,18966
leader_crash_restart,600,1000,0,1,-1,1,3237,20788,20809,20888,17651
leader_crash_restart,600,1000,0,1,-1,2,4736,25508,25527,25608,20872
leader_crash_restart,600,1000,0,1,-1,1,3237,28415,28440,28515,25278
leader_crash_restart,600,1000,0,1,-1,1,3237,31726,31748,31827,28590
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,403,402,403,502,99
leader_crash_restart,600,1000,0,1,-1,4,418,402,418,503,85
leader_crash_restart,600,1000,0,1,-1,0,1811,1808,1811,1908,97
leader_crash_restart,600,1000,0,1,-1,3,3136,3112,3136,3212,76
leader_crash_restart,600,1000,0,1,-1,0,1811,5925,5951,6025,4214
leader_crash_restart,600,1000,0,1,-1,4,418,9231,9247,9332,8914
leader_crash_restart,600,1000,0,1,-1,3,3136,12247,12268,12348,9212
leader_crash_restart,600,1000,0,1,-1,3,3136,12650,12663,12750,9614
leader_crash_restart,600,1000,0,1,-1,1,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,2,303,303,303,403,100
leader_crash_restart,600,1000,0,1,-1,1,2411,2411,2411,2512,101
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,0,503,502,503,603,100
leader_crash_restart,600,1000,0,1,-1,3,301,301,301,402,101
leader_crash_restart,600,1000,0,1,-1,1,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,4,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,1,402,402,402,503,101
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,1,300,300,300,401,101
leader_crash_restart,600,1000,0,1,-1,1,302,302,302,402,100
leader_crash_restart,600,1000,0,1,-1,3,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,3016,3016,3016,3117,101
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,400,400,400,501,101
leader_crash_restart,600,1000,0,1,-1,2,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,0,813,813,813,913,100
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,4,5540,5540,5540,5640,100
leader_crash_restart,600,1000,0,1,-1,1,2612,2611,2612,2711,99
leader_crash_restart,600,1000,0,1,-1,3,502,502,502,603,101
leader_crash_restart,600,1000,0,1,-1,3,300,300,300,401,101
leader_crash_restart,600,1000,0,1,-1,1,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,4,4215,4215,4215,4315,100
leader_crash_restart,600,1000,0,1,-1,4,300,300,300,400,100
leader_crash_restart,600,1000,0,1,-1,1,501,501,501,602,101
leader_crash_restart,600,1000,0,1,-1,3,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,1,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,4,402,401,402,502,100
leader_crash_restart,600,1000,0,1,-1,4,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,2,13456,13456,13456,13556,100
leader_crash_restart,600,1000,0,1,-1,4,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,3013,3013,3013,3113,100
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,1,4317,4317,4317,4417,100
leader_crash_restart,600,1000,0,1,-1,4,803,803,803,904,101
leader_crash_restart,600,1000,0,1,-1,2,312,301,312,401,89
leader_crash_restart,600,1000,0,1,-1,0,418,402,418,502,84
leader_crash_restart,600,1000,0,1,-1,4,1427,1406,1427,1506,79
leader_crash_restart,600,1000,0,1,-1,1,1825,1805,1825,1905,80
leader_crash_restart,600,1000,0,1,-1,3,2737,2713,2737,2813,76
leader_crash_restart,600,1000,0,1,-1,3,2737,3917,3936,4017,1280
leader_crash_restart,600,1000,0,1,-1,1,1825,4514,4536,4614,2789
leader_crash_restart,600,1000,0,1,-1,3,2737,15763,15782,15864,13127
leader_crash_restart,600,1000,0,1,-1,2,16180,16173,16180,16273,93
leader_crash_restart,600,1000,0,1,-1,1,1825,20371,20385,20472,18647
leader_crash_restart,600,1000,0,1,-1,0,418,25999,26024,26099,25681
leader_crash_restart,600,1000,0,1,-1,2,16180,28121,28133,28221,12041
leader_crash_restart,600,1000,0,1,-1,4,1427,30266,30498,30566,29139
leader_crash_restart,600,1000,0,1,-1,0,418,35032,35057,35132,34714
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,0,401,7327,7327,7427,7026
leader_crash_restart,600,1000,0,1,-1,2,318,300,318,401,83
leader_crash_restart,600,1000,0,1,-1,2,318,902,922,1003,685
leader_crash_restart,600,1000,0,1,-1,3,3532,3514,3532,3614,82
leader_crash_restart,600,1000,0,1,-1,4,8149,8133,8149,8233,84
leader_crash_restart,600,1000,0,1,-1,4,8149,15360,15360,15460,7311
